        Time / s                3 [1]/real
----------------------------------------------------------------------
                       0                               0
          8.9134191e-013                               0
          1.7826838e-012                               0
          2.6740257e-012                               0
          3.5653677e-012                               0
          4.4567096e-012                               0
          5.3480515e-012                               0
          6.2393934e-012                               0
          7.1307353e-012                               0
          8.0220772e-012                               0
          8.9134191e-012                               0
           9.804761e-012                               0
          1.0696103e-011                               0
          1.1587445e-011                               0
          1.2478787e-011                               0
          1.3370129e-011                               0
          1.4261471e-011                               0
          1.5152813e-011                               0
          1.6044154e-011                               0
          1.6935496e-011                               0
          1.7826838e-011                               0
           1.871818e-011                               0
          1.9609522e-011                               0
          2.0500864e-011                               0
          2.1392206e-011                               0
          2.2283548e-011                               0
           2.317489e-011                               0
          2.4066232e-011                               0
          2.4957574e-011                               0
          2.5848915e-011                               0
          2.6740257e-011                               0
          2.7631599e-011                               0
          2.8522941e-011                               0
          2.9414283e-011                               0
          3.0305625e-011                               0
          3.1196967e-011                               0
          3.2088309e-011                               0
          3.2979651e-011                               0
          3.3870993e-011                               0
          3.4762335e-011                               0
          3.5653677e-011                               0
          3.6545018e-011                               0
           3.743636e-011                               0
          3.8327702e-011                               0
          3.9219044e-011                               0
          4.0110386e-011                               0
          4.1001728e-011                               0
           4.189307e-011                               0
          4.2784412e-011                               0
          4.3675754e-011                               0
          4.4567096e-011                               0
          4.5458438e-011                               0
          4.6349779e-011                               0
          4.7241121e-011                               0
          4.8132463e-011                               0
          4.9023805e-011                               0
          4.9915147e-011                               0
          5.0806489e-011                               0
          5.1697831e-011                               0
          5.2589173e-011                               0
          5.3480515e-011                               0
          5.4371857e-011                               0
          5.5263199e-011                               0
           5.615454e-011                               0
          5.7045882e-011                               0
          5.7937224e-011                               0
          5.8828566e-011                               0
          5.9719908e-011                               0
           6.061125e-011                               0
          6.1502592e-011                               0
          6.2393934e-011                               0
          6.3285276e-011                               0
          6.4176618e-011                               0
           6.506796e-011                               0
          6.5959302e-011                               0
          6.6850643e-011                               0
          6.7741985e-011                               0
          6.8633327e-011                               0
          6.9524669e-011                               0
          7.0416011e-011                               0
          7.1307353e-011                               0
          7.2198695e-011                               0
          7.3090037e-011                               0
          7.3981379e-011                               0
          7.4872721e-011                               0
          7.5764063e-011                               0
          7.6655404e-011                               0
          7.7546746e-011                               0
          7.8438088e-011                               0
           7.932943e-011                               0
          8.0220772e-011                               0
          8.1112114e-011                               0
          8.2003456e-011                               0
          8.2894798e-011                               0
           8.378614e-011                               0
          8.4677482e-011                               0
          8.5568824e-011                               0
          8.6460166e-011                               0
          8.7351507e-011                               0
          8.8242849e-011                               0
          8.9134191e-011                               0
          9.0025533e-011                               0
          9.0916875e-011                               0
          9.1808217e-011                               0
          9.2699559e-011                               0
          9.3590901e-011                               0
          9.4482243e-011                               0
          9.5373585e-011                               0
          9.6264927e-011                               0
          9.7156268e-011                               0
           9.804761e-011                               0
          9.8938952e-011                               0
          9.9830294e-011                               0
          1.0072164e-010                               0
          1.0161298e-010                               0
          1.0250432e-010                               0
          1.0339566e-010                               0
            1.04287e-010                               0
          1.0517835e-010                               0
          1.0606969e-010                               0
          1.0696103e-010                               0
          1.0785237e-010                               0
          1.0874371e-010                               0
          1.0963506e-010                               0
           1.105264e-010                               0
          1.1141774e-010                               0
          1.1230908e-010                               0
          1.1320042e-010                               0
          1.1409176e-010                               0
          1.1498311e-010                               0
          1.1587445e-010                               0
          1.1676579e-010                               0
          1.1765713e-010                               0
          1.1854847e-010                               0
          1.1943982e-010                               0
          1.2033116e-010                               0
           1.212225e-010                               0
          1.2211384e-010                               0
          1.2300518e-010                               0
          1.2389653e-010                               0
          1.2478787e-010                               0
          1.2567921e-010                               0
          1.2657055e-010                               0
          1.2746189e-010                               0
          1.2835324e-010                               0
          1.2924458e-010                               0
          1.3013592e-010                               0
          1.3102726e-010                               0
           1.319186e-010                               0
          1.3280994e-010                               0
          1.3370129e-010                               0
          1.3459263e-010                               0
          1.3548397e-010                               0
          1.3637531e-010                               0
          1.3726665e-010                               0
            1.38158e-010                               0
          1.3904934e-010                               0
          1.3994068e-010                               0
          1.4083202e-010                               0
          1.4172336e-010                               0
          1.4261471e-010                               0
          1.4350605e-010                               0
          1.4439739e-010                               0
          1.4528873e-010                               0
          1.4618007e-010                               0
          1.4707142e-010                               0
          1.4796276e-010                               0
           1.488541e-010                               0
